DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,AT,2020,83.2,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,BE,2020,112.8,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,BG,2020,24.7,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,CY,2020,115.3,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,CZ,2020,37.7,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,DE,2020,68.7,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,DK,2020,42.1,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,EE,2020,19.0,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,EL,2020,206.3,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,ES,2020,120.0,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,EU27_2020,2020,90.1,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,FI,2020,69.5,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,FR,2020,115.0,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,HR,2020,87.3,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,HU,2020,80.1,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,IE,2020,58.4,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,IT,2020,155.6,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,LT,2020,46.6,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,LU,2020,24.8,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,LV,2020,43.2,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,MT,2020,53.4,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,NL,2020,54.3,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,PL,2020,57.4,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,PT,2020,135.2,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,RO,2020,47.4,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,SE,2020,39.7,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,SI,2020,79.8,
ESTAT:SDG_17_40(1.0),22/10/21 11:00:00,A,PC_GDP,S13,GD,SK,2020,59.7,
